'a'ba 阿爸
'jiu'cheng 酒埕
'jiu'da'gui 九大簋
'jiu'fu 舅父
'jiu'li 就嚟
'jiu'shou 就手
'ju'ju'suo'suo 焗焗缩缩
'ju'li'zi 車厘子
'ju'qin 焗亲
'ka'fei 咖啡
'ka'la 卡拉
'ka'pian 卡片
'ka'shi 卡士
'kai'pian 开片
'kai'you 揩油
'kai'you'suo'you 揩油索油
'kan'bang'lang 冚棒唥
'kan'geng 看更
'kan'tou'mai'qiang 坎头埋墙
'kao'bei 拷贝
'ke'da 柯打
'ke'fei'shi 柯非时
'ke'fu 柯傅
'ke'kou'ke'le 可口可乐
'ke'lu 柯路
'ke'wen 科文
'kong'jie 空姐
'kou'duo'duo 口多多
'kou'hua'hua 口花花
'kou'luan 抠乱
'ku'gua'gan'ge'mian 苦瓜咁嘅面
'kuai'huo 快活
'kuai'kuai'cui'cui 快快脆脆
'kuai'lao 快佬
'kuai'qu 快趣
'kuo'luo 阔落
'la'chen 拉臣
'la'ji'sen 垃圾篸
'la'shou'wu'cheng'shi 楋手唔成势
'la'ta 邋遢
'lan'rong'rong 烂溶溶
'lang'kou 浪口
'lang'na'du 朗拿度
'lang'shan 浪衫
'lang'si 朗斯
'lao'bian'xing 捞边行
'lao'ding 老顶
'lao'dou 老窦
'lao'dou 老豆
'lao'gu'po 老姑婆
'lao'jin 老襟
'lao'keng 老坑
'lao'ma'zi 老妈子
'lao'po 老婆
'lao'qian 老千
'lao'xi 老细
'lao'ye 老嘢
'lao'you'ji 老友记
'le'ha'fei'er 勒哈费尔
'lei'en 雷恩
'lei'she 镭射
'leng'shan 冷衫
'li'ang 里昂
'li'diao 莅魡
'li'er 利尔
'li'mi 栗米
'lian'zhen 联针
'lian'zi'rong'mian'kou 莲子蓉面口
'liang'gua 凉瓜
'liang'nv 靓女
'liang'shuang 凉爽
'liang'zai 靓仔
'liao'ge 鹩哥
'lie'lie'luan'luan 擸擸乱乱
'lin'lin'sen'sen 林林森森
'ling'dai 领呔
'ling'ling'ding'ding 零零丁丁
'ling'tai 领太
'long'yan 龙眼
'lou'kou'lao 漏口佬
'lou'qi 漏气
'lu'ge 碌葛
'lu'hai'lu 路还路
'lu'shi 碌士
'lu'xiang'ji 录像机
'luan'luan'yuan'yuan 挛挛蜎蜎
'lun'geng 轮更
'luo'di'cheng 萝底橙
'luo'han 罗汉
'luo'li'shuai 攞嚟衰
'luo'shai'xing 落晒形
'luo'shai'xing'bing'mao 落晒形病猫
'luo'suo 啰嗦
'luo'you 罗柚
'lv'you'you 绿油油
'ma'jin 孖筋
'ma'liu 马骝
'ma'ma'di 嘛嘛哋
'ma'mi 妈咪
'ma'sai 马赛
'ma'ti 马蹄
'ma'zai 马仔
'mai'kou 埋口
'mai'sheng'zhe 卖剩蔗
'mang'lao 盲佬
'mao'guan 毛管
'mao'ji'he 冇几何
'mao'li 茂里
'mao'xiang'gan 冇相干
'mei'ji'he 没几何
'mei'xiang'gan 没相干
'men'ju 焖焗
'men'kou'gou 门口狗
'meng'bi'li'ai 蒙比利埃
'meng'dong 懵懂
'meng'ju 懵居
'mi'gua 蜜瓜
'mi'lao 秘捞
'mi'mai'yan 眯埋眼
'mi'si 密丝
'mi'tou 咪头
'mi'zhu 咪住
'mian'bai'bai 面白白
'mian'hong'hong 面红红
'mian'huang'huang 面黄黄
'mian'qing'qing 面青青
'mian'zhi 免治
'mian'zhu'dun 面珠墩
'miao'zui 渺嘴
'mie'a 咩啊
'mie'ye 乜嘢
'mo'da 摩打
'mo'deng 摩登
'mo'men'ding 摸门钉
'mo'na'ge 摩纳哥
'mo'te'er 模特兒
'mo'tuo 摩托
'mu'zui 木嘴
'na'mo 南无
'na'na'lin 嗱嗱啉
'na'xi 拿西
'nai'shi 奶式
'nai'si 奈斯
'nan'te 南特
'ne'di 呢啲
'ne'du 呢度
'ni'di 你哋
'ni'ge 你嘅
'ni'long 尼龙
'niao'bao'bao 嬲爆爆
'ning'tou 拧头
'niu'ning 扭拧
'niu'zai 牛仔
'niu'zhan 牛辗
'nv'nv 女女
'ou'sai'er 欧塞尔
'ou'shai 欧晒
'ou'xue 呕血
'pa'na 啪拿
'pa'si 派司
'pa'si'bo 派司砵
'pai'dui 派对
'pai'na 派拿
'pai'shi 派士
'pai'tuo 拍拖
'pao'lang'tou 抛浪头
'pi'li 啤梨
'pi'qie 皮箧
'piao'ji 嫖妓
'pin'pu 频扑
'ping'guo'pi 苹果批
'ping'pang'qiu 乒乓球
'ping'ping'hua'hua 平平滑滑
'ping'ping'tan'tan 平平坦坦
'qi'di 契弟
'qi'guo'gan'luan 七国咁乱
'qi'ji'ji 齐缉缉
'qi'li 企理
'qi'lie 骑咧
'qi'ne 骑呢
'qi'ren'zeng 乞人憎
'qi'shen 起身
'qi'shi 奇士
'qi'wu 起屋
'qi'xi'du 企系度
'qi'ye 契爷
'qi'zi 契仔
'qian'qi 千祈
'qie'li'fei 茄哩啡
'qie'shu 茄薯
'qin'li 勤力
'qin'liao 蠄蟧
'qin'mie'sun 禽搣笋
'qin'qu 蠄蟝
'qing'bi'bi 青碧碧
'qing'gua 青瓜
'qing'ji 倾偈
'qing'jiao 青椒
'qing'yuan 情愿
'qiu'qiu'qi'qi 求求其其
'qu'di 佢哋
'qu'qi 曲奇
'qu'zhi 屈质
'que'zi 雀仔
'ran'zhi'hou 然之后
're'fei 热痱
're'gou 热狗
'ren'di 人哋
'ren'gong 人工
'ren'ke 人客
'ren'ke'sheng'bu 人客生埗
'rou'chi 肉赤
'rou'si 肉丝
'rou'suan 肉酸
'ruan'shu 软熟
'sa'qi 飒气
'san'gu'liu'po 三姑六婆
'san'kou'liu'mian 三口六面
'san'wen'zhi 三文治
'san'xiu'xiu 散修修
'sang'na 桑拿
'sao'ba 扫把
'sao'xia 臊虾
'se'dang 色当
'se'se'suo'suo 瑟瑟缩缩
'se'si 色司
'sha'chen 沙尘
'sha'geng'geng 傻庚庚
'sha'jin 沙津
'sha'lv 沙律
'sha'sha'geng'geng 傻傻庚庚
'sha'sha'gun'ni'hei 沙沙滚尼嘿
'sha'shi'jian 沙士坚
'sha'zhan 沙展
'shai'shi 晒士
'shan'cui'si 姗翠斯
'shan'ga'la 山旮旯
'shang'zhou 上昼
'shao'cai 绍菜
'shao'ji 筲箕
'shao'jiu 烧酒
'shao'wei 稍为
'she'wang 蛇王
'shen'ba 谂巴
'shen'ba'wen 谂巴温
'shen'qing 身庆
'shen'shen'jing'jing 神神经经
'shen'shui'shen'han 身水身汗
'shen'zhu 谂住
'shen'zi 身子
'sheng'an'bai'zao 生安白造
'sheng'bao 生保
'sheng'gou'gou 生勾勾
'sheng'gua 胜瓜
'sheng'guo 生果
'sheng'ji 生癪
'sheng'luo'bo 生萝卜
'sheng'ren'wu'sheng'dan 生人唔生胆
'sheng'xing 生性
'shi'ba'na 士巴拿
'shi'bi 是必
'shi'dan 士担
'shi'dan 是但
'shi'de 士的
'shi'dian 士点
'shi'duo 士多
'shi'duo'pi'li 士多啤梨
'shi'fen'zhi 十分之
'shi'guan 事关
'shi'hua'dou'wei'you'yi'pie 十划都未有一撇
'shi'hun 失魂
'shi'hun'yu 失魂鱼
'shi'le 士叻
'shi'lu'jia 士碌架
'shi'mao 时髦
'shi'nai 师奶
'shi'pi'dai 士啤呔
'shi'shui'ji 湿水鸡
'shi'si'mao 食死猫
'shi'te'la'si'bao 史特拉斯堡
'shi'tou 事头
'shi'tou'po 事头婆
'shi'wan'mian'fan'wan'di 食碗面反碗底
'shi'wen'jiu'wu'ying 十问九唔应
'shi'xia'shi'xia 拾下拾下
'shi'yan 食晏
'shi'yan 食烟
'shi'yu'qi 士域祇
'shi'zheng 嗜正
'shi'zhi 食滞
'shi'zhi'zhi 实质质
'shi'zuo'ren'zhi'che'mie 食咗人只车咩
'shou'ban 手板
'shou'ban'yan'jian'gong'fu 手板眼见工夫
'shou'die 收爹
'shou'duo'duo 手多多
'shou'gong 收工
'shou'gu'xian 瘦骨仙
'shou'gua 手瓜
'shou'gua'ying 手瓜硬
'shou'ji 手机
'shou'meng'meng 瘦蜢蜢
'shou'pi 收皮
'shou'xin 手信
'shou'zhi'niu'chu'wu'niu'ru 手指拗出唔拗入
'shu'da 梳打
'shu'hai'shu 数还数
'shu'hua 梳化
'shu'li 疏离
'shu'shou 熟手
'shu'wei 数围
'shu'xing 熟行
'shu'zai 薯仔
'shuai'dao'tie'di 衰到贴地
'shuai'pi 甩皮
'shuan'men 闩门
'shuang'shou 爽手
'shui'hou 水喉
'shui'jiao 水饺
'shui'jing'he'fei 水静河飞
'shui'yu 水鱼
'si'chun 死蠢
'si'e'shan 死呃鳝
'si'huo 死火
'si'ji 司机
'si'zheng 四正
